"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 01 21:25:39 UTC 2026","Tue Sep 01 21:25:40 UTC 2026","603","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","methodsFor405","Неподдерживаемый метод  405 [2] /v1/disk PUT → 405",""
"passed","Tue Sep 01 21:25:42 UTC 2026","Tue Sep 01 21:25:43 UTC 2026","682","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [12] overwrite=' true' → 400",""
"passed","Tue Sep 01 21:25:39 UTC 2026","Tue Sep 01 21:25:40 UTC 2026","851","","api.tests.negative.YandexFolderNegativeTest","","api.tests.negative.YandexFolderNegativeTest","return404WithErrorFolderNotFound","Несуществующая папка","Запрос информации о несуществующей папке 404"
"passed","Tue Sep 01 21:25:36 UTC 2026","Tue Sep 01 21:25:39 UTC 2026","2812","","api.tests.negative.YandexFolderNegativeTest","","api.tests.negative.YandexFolderNegativeTest","return404WhenDeletingNonExistentFolder","Удаление несуществующей папки","Удаление несуществующей папки 404"
"passed","Tue Sep 01 21:25:36 UTC 2026","Tue Sep 01 21:25:51 UTC 2026","15498","","api.tests.negative.YandexFileNegativeTest","","api.tests.negative.YandexFileNegativeTest","return409WhenCopyOverExistingFileWithoutOverwrite","Копирование поверх существующего файла без overwrite","Копирование поверх существующего файла без overwrite 409"
"passed","Tue Sep 01 21:25:40 UTC 2026","Tue Sep 01 21:25:41 UTC 2026","703","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [6] overwrite='+0' → 400",""
"passed","Tue Sep 01 21:25:43 UTC 2026","Tue Sep 01 21:25:43 UTC 2026","735","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [4] overwrite='falsee' → 400",""
"passed","Tue Sep 01 21:25:36 UTC 2026","Tue Sep 01 21:25:39 UTC 2026","2815","","api.tests.negative.YandexTrashNegativeTest","","api.tests.negative.YandexTrashNegativeTest","return404RestoreNonExistentFile","Восстановление несуществующего файла","Восстановление несуществующего файла 404"
"passed","Tue Sep 01 21:25:45 UTC 2026","Tue Sep 01 21:25:45 UTC 2026","801","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [9] overwrite='+1' → 400",""
"passed","Tue Sep 01 21:25:41 UTC 2026","Tue Sep 01 21:25:42 UTC 2026","717","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [8] overwrite='0+' → 400",""
"passed","Tue Sep 01 21:25:39 UTC 2026","Tue Sep 01 21:25:39 UTC 2026","695","","api.tests.negative.YandexFolderNegativeTest","","api.tests.negative.YandexFolderNegativeTest","return400WhenEmptyPath","Пустой путь при создании папки","Пустой путь при создании папки 400"
"passed","Tue Sep 01 21:25:39 UTC 2026","Tue Sep 01 21:25:39 UTC 2026","572","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","methodsFor405","Неподдерживаемый метод  405 [3] /v1/disk DELETE → 405",""
"passed","Tue Sep 01 21:25:40 UTC 2026","Tue Sep 01 21:25:47 UTC 2026","7520","","api.tests.negative.YandexFileNegativeTest","","api.tests.negative.YandexFileNegativeTest","failToCopyWhenTargetFolderNotExists","Копирование в несуществующую папку","Копирование в несуществующую папку 409"
"passed","Tue Sep 01 21:25:40 UTC 2026","Tue Sep 01 21:25:40 UTC 2026","702","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [5] overwrite='-1' → 400",""
"passed","Tue Sep 01 21:25:39 UTC 2026","Tue Sep 01 21:25:40 UTC 2026","820","","api.tests.negative.YandexPublishNegativeTest","","api.tests.negative.YandexPublishNegativeTest","return404PublishNonExistentResource","Публикация несуществующего ресурса","Публикация несуществующего ресурса 404"
"passed","Tue Sep 01 21:25:42 UTC 2026","Tue Sep 01 21:25:42 UTC 2026","658","","api.tests.negative.YandexNegativeParamTest","","api.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [10] overwrite='-0' → 400",""
