"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Aug 19 20:06:08 UTC 2026","Wed Aug 19 20:06:09 UTC 2026","742","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [10] overwrite='-0' → 400",""
"passed","Wed Aug 19 20:06:12 UTC 2026","Wed Aug 19 20:06:13 UTC 2026","756","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [1] overwrite='yes' → 400",""
"passed","Wed Aug 19 20:06:15 UTC 2026","Wed Aug 19 20:06:19 UTC 2026","4040","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFilesWithDifferentNames","createFilesWithDifferentNames(String) [8] Имя файла='123213ф' → 201","Создание файлов с разными допустимыми именами 201"
"passed","Wed Aug 19 20:05:53 UTC 2026","Wed Aug 19 20:06:00 UTC 2026","7555","","integration.tests.positive.YandexFilePositiveTest","","integration.tests.positive.YandexFilePositiveTest","uploadFileFromUrl","Загрузка файла по URL, ожидание появления файла","Загрузка файла на диск по публичной ссылке с GitHub 202"
"passed","Wed Aug 19 20:06:00 UTC 2026","Wed Aug 19 20:06:08 UTC 2026","7792","","integration.tests.positive.YandexFilePositiveTest","","integration.tests.positive.YandexFilePositiveTest","updateFileMetadata","Обновление метаданных файла → 200, свойства обновлены","Обновление пользовательских метаданных у файла"
"passed","Wed Aug 19 20:06:25 UTC 2026","Wed Aug 19 20:06:30 UTC 2026","4396","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFilesWithDifferentNames","createFilesWithDifferentNames(String) [6] Имя файла='file+with+plus' → 201","Создание файлов с разными допустимыми именами 201"
"passed","Wed Aug 19 20:06:06 UTC 2026","Wed Aug 19 20:06:07 UTC 2026","775","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [7] overwrite='1-' → 400",""
"passed","Wed Aug 19 20:06:02 UTC 2026","Wed Aug 19 20:06:02 UTC 2026","714","","integration.tests.negative.YandexTrashNegativeTest","","integration.tests.negative.YandexTrashNegativeTest","return404RestoreNonExistentFile","Восстановление несуществующего файла","Восстановление несуществующего файла 404"
"passed","Wed Aug 19 20:06:10 UTC 2026","Wed Aug 19 20:06:11 UTC 2026","717","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [12] overwrite=' true' → 400",""
"passed","Wed Aug 19 20:06:00 UTC 2026","Wed Aug 19 20:06:06 UTC 2026","5989","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFilesWithDifferentNames","createFilesWithDifferentNames(String) [4] Имя файла='file-with-dash' → 201","Создание файлов с разными допустимыми именами 201"
"passed","Wed Aug 19 20:06:07 UTC 2026","Wed Aug 19 20:06:08 UTC 2026","751","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [8] overwrite='0+' → 400",""
"passed","Wed Aug 19 20:06:04 UTC 2026","Wed Aug 19 20:06:04 UTC 2026","598","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","methodsFor405","Неподдерживаемый метод  405 [3] /v1/disk DELETE → 405",""
"passed","Wed Aug 19 20:06:06 UTC 2026","Wed Aug 19 20:06:06 UTC 2026","588","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","methodsFor405","Неподдерживаемый метод  405 [1] /v1/disk/resources POST → 405",""
"passed","Wed Aug 19 20:06:11 UTC 2026","Wed Aug 19 20:06:12 UTC 2026","812","","integration.tests.negative.YandexNegativeParamTest","","integration.tests.negative.YandexNegativeParamTest","return400ForInvalidOverwrite","Невалидные значения overwrite возвращают 400 [13] overwrite=' false' → 400",""
"passed","Wed Aug 19 20:06:11 UTC 2026","Wed Aug 19 20:06:15 UTC 2026","4823","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","loadingFilesOfDifferentTypes","Загрузка файлов разных расширений → 201 [4] Загрузка файла с расширением .pdf","Загрузка файлов разных типов"
"passed","Wed Aug 19 20:06:03 UTC 2026","Wed Aug 19 20:06:04 UTC 2026","848","","integration.tests.negative.YandexPublishNegativeTest","","integration.tests.negative.YandexPublishNegativeTest","return404PublishNonExistentResource","Публикация несуществующего ресурса","Публикация несуществующего ресурса 404"
"passed","Wed Aug 19 20:06:20 UTC 2026","Wed Aug 19 20:06:34 UTC 2026","13396","","integration.tests.positive.YandexFilePositiveTest","","integration.tests.positive.YandexFilePositiveTest","copyFileToAnotherFolder","Копирование файла, проверка наличия копии","Копирование файла в другую папку 201"
"passed","Wed Aug 19 20:06:23 UTC 2026","Wed Aug 19 20:06:26 UTC 2026","2261","","integration.tests.positive.YandexPositiveParamTest","","integration.tests.positive.YandexPositiveParamTest","createFolderWithCyrillicAndSpaces","Создание папки с разными допустимыми именами и пробелами 201 [2] имя папки='Моя папка' → 201",""
